                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                 2.2996,                 2.6512,                 2.6807,                0.35828,                0.34783,                0.40292,                0.09486,                  2.167,                 3.1632,                 2.7721,              0.0013466,              0.0013466,              0.0013466
                     69,                  2.243,                 2.6642,                 2.6572,                0.33082,                0.56522,                0.38274,                0.09508,                 2.1364,                 3.0357,                 2.7424,              0.0013367,              0.0013367,              0.0013367
                     70,                  2.217,                 2.7748,                 2.6278,                0.22552,                0.43055,                0.21822,                0.05428,                 2.1758,                 2.7905,                  2.754,              0.0013268,              0.0013268,              0.0013268
                     71,                  2.229,                 2.6839,                 2.6724,                0.43863,                0.47826,                0.34936,                0.10861,                 2.0347,                 2.8602,                 2.6929,              0.0013169,              0.0013169,              0.0013169
                     72,                  2.156,                 2.6584,                 2.5935,                 0.4419,                0.56522,                0.42907,                0.13765,                 1.8985,                 2.8864,                 2.5581,               0.001307,               0.001307,               0.001307
                     73,                 2.1669,                 2.6482,                 2.6328,                0.24119,                0.34783,                0.27203,                0.08882,                  1.948,                 2.7353,                 2.5671,              0.0012971,              0.0012971,              0.0012971
                     74,                 2.1479,                 2.6579,                 2.5938,                0.36427,                0.34783,                0.31234,                0.10104,                 1.9181,                 2.8107,                 2.5991,              0.0012872,              0.0012872,              0.0012872
                     75,                  2.172,                 2.7527,                 2.6322,                0.34758,                0.27852,                0.24862,                 0.0865,                 1.9233,                 2.9725,                 2.6754,              0.0012773,              0.0012773,              0.0012773
                     76,                 2.1383,                 2.6049,                 2.6162,                 0.1306,                0.21739,                0.21097,                0.06523,                 2.1077,                 2.7845,                 2.8008,              0.0012674,              0.0012674,              0.0012674
                     77,                 2.1047,                 2.6198,                 2.5812,                      1,                0.08688,                0.26244,                0.07268,                 2.0707,                 2.7449,                 2.7033,              0.0012575,              0.0012575,              0.0012575
                     78,                 2.1581,                 2.6052,                 2.6008,                0.24457,                0.28193,                0.32337,                0.09759,                 1.9454,                 2.6086,                 2.6506,              0.0012476,              0.0012476,              0.0012476
                     79,                 2.2161,                 2.5892,                 2.6197,                0.78591,                0.32026,                0.45229,                0.14027,                 2.1942,                 2.9249,                 2.7997,              0.0012377,              0.0012377,              0.0012377
                     80,                 2.1289,                 2.5436,                 2.5852,                0.65418,                0.43478,                0.59004,                0.18932,                 2.0192,                 2.8271,                 2.6412,              0.0012278,              0.0012278,              0.0012278
                     81,                 2.1058,                 2.5528,                 2.5624,                0.45129,                0.30435,                0.38702,                0.09852,                 1.9157,                 2.5625,                 2.5713,              0.0012179,              0.0012179,              0.0012179
                     82,                 2.1126,                 2.5946,                 2.5761,                0.15763,                0.08696,                0.13766,                 0.0374,                 1.9522,                 2.7808,                 2.6801,               0.001208,               0.001208,               0.001208
                     83,                 2.1258,                 2.6437,                 2.5911,                0.24532,                0.13043,                0.13656,                0.03355,                 2.0242,                 2.9224,                 2.7492,              0.0011981,              0.0011981,              0.0011981
                     84,                 2.1034,                 2.5553,                 2.5753,                0.45439,                0.30435,                 0.3423,                0.10695,                  1.928,                 2.5882,                 2.5995,              0.0011882,              0.0011882,              0.0011882
                     85,                 2.1187,                 2.5595,                  2.569,                0.53374,                 0.3913,                0.43625,                0.14482,                 1.9447,                 2.4719,                 2.5938,              0.0011783,              0.0011783,              0.0011783
                     86,                  1.979,                 2.5281,                 2.5018,                0.50548,                0.35593,                0.46888,                0.15677,                 1.9961,                 2.3686,                 2.6297,              0.0011684,              0.0011684,              0.0011684
                     87,                 2.0177,                 2.5438,                 2.5367,                0.44671,                0.34783,                0.43826,                0.12518,                 1.9792,                 2.5285,                 2.5704,              0.0011585,              0.0011585,              0.0011585
                     88,                 2.0298,                 2.5313,                 2.4941,                0.38726,                0.30435,                0.31928,                  0.089,                 2.0351,                  2.638,                 2.6053,              0.0011486,              0.0011486,              0.0011486
                     89,                   2.07,                  2.474,                 2.5269,                0.64685,                0.30435,                0.44174,                0.12375,                 1.9285,                 2.6518,                 2.5816,              0.0011387,              0.0011387,              0.0011387
                     90,                 2.0742,                 2.4616,                 2.5108,                0.72705,                0.23293,                0.53512,                0.16814,                 1.9221,                 2.5816,                 2.5479,              0.0011288,              0.0011288,              0.0011288
                     91,                 2.0079,                 2.5093,                 2.5227,                0.76508,                 0.4254,                0.44776,                0.13331,                 2.0237,                 2.6476,                 2.6361,              0.0011189,              0.0011189,              0.0011189
                     92,                 2.0305,                 2.5892,                 2.5748,                0.55096,                0.26087,                0.27421,                0.06362,                 1.9311,                  2.923,                 2.5856,               0.001109,               0.001109,               0.001109
                     93,                 1.9885,                 2.5655,                 2.5174,                 0.3656,                0.17391,                0.28756,                 0.0775,                 1.9157,                 2.8405,                 2.5663,              0.0010991,              0.0010991,              0.0010991
                     94,                 1.9762,                 2.5077,                 2.5044,                0.35348,                0.38067,                0.35421,                0.11098,                 1.9021,                 2.6187,                 2.5864,              0.0010892,              0.0010892,              0.0010892
                     95,                 2.0103,                 2.6377,                 2.5489,                0.37228,                0.51588,                0.37082,                0.14371,                 1.8326,                 2.5615,                 2.5694,              0.0010793,              0.0010793,              0.0010793
                     96,                 2.0067,                  2.506,                 2.5007,                0.38863,                0.47826,                0.35362,                0.15238,                  1.845,                 2.4749,                 2.5389,              0.0010694,              0.0010694,              0.0010694
                     97,                 1.9925,                 2.4305,                  2.477,                0.31026,                0.52174,                0.22864,                  0.103,                 1.8627,                 2.5593,                  2.548,              0.0010595,              0.0010595,              0.0010595
                     98,                 1.9646,                 2.5737,                 2.4795,                 0.2952,                 0.3913,                0.24078,                0.09449,                 1.8354,                 2.5495,                 2.5635,              0.0010496,              0.0010496,              0.0010496
                     99,                  1.961,                 2.4871,                 2.4593,                0.50359,                0.13262,                0.22772,                0.05821,                 1.9871,                 3.0323,                 2.7669,              0.0010397,              0.0010397,              0.0010397
                    100,                 1.9768,                 2.4743,                 2.4773,                0.63252,                0.22524,                0.31151,                0.09739,                 1.9835,                 2.9709,                 2.7452,              0.0010298,              0.0010298,              0.0010298
                    101,                 1.9832,                 2.5558,                 2.4691,                0.33069,                0.21739,                0.28744,                0.08819,                 2.0399,                 2.8238,                 2.7338,              0.0010199,              0.0010199,              0.0010199
                    102,                 1.9256,                 2.4085,                 2.4428,                0.34889,                0.30435,                0.24806,                0.07646,                 2.0518,                 2.8755,                 2.6902,                0.00101,                0.00101,                0.00101
                    103,                 1.9297,                 2.4283,                 2.4083,                0.26764,                0.21739,                 0.2352,                0.07413,                 2.0489,                 2.8902,                 2.7012,              0.0010001,              0.0010001,              0.0010001
                    104,                 1.9108,                 2.4723,                 2.4131,                0.36377,                0.43478,                0.32838,                0.11042,                 1.9575,                  2.833,                 2.6421,              0.0009902,              0.0009902,              0.0009902
                    105,                 1.9088,                 2.4509,                 2.4358,                 0.2652,                0.21739,                0.25028,                0.13976,                 1.8042,                 2.5138,                 2.4627,              0.0009803,              0.0009803,              0.0009803
                    106,                 1.9315,                 2.4019,                 2.4264,                0.28855,                0.30435,                0.29633,                0.15654,                 1.8201,                 2.4241,                 2.4851,              0.0009704,              0.0009704,              0.0009704
                    107,                 1.9202,                 2.4461,                 2.4513,                0.19552,                0.30435,                0.27651,                0.11687,                 1.8301,                 2.5648,                 2.5188,              0.0009605,              0.0009605,              0.0009605
                    108,                 1.9048,                 2.4586,                 2.4118,                 0.1644,                0.47826,                0.27837,                0.10112,                 1.9472,                 2.5116,                 2.6044,              0.0009506,              0.0009506,              0.0009506
                    109,                 1.9321,                 2.4574,                 2.4155,                0.25133,                0.26087,                0.32169,                 0.0935,                 2.0167,                 2.5368,                 2.6504,              0.0009407,              0.0009407,              0.0009407
                    110,                 1.9411,                 2.4029,                 2.4076,                0.56907,                0.26087,                0.38904,                0.14223,                 1.9488,                 2.3665,                 2.5635,              0.0009308,              0.0009308,              0.0009308
                    111,                 1.9131,                 2.4771,                 2.3901,                0.28109,                0.47604,                0.29045,                0.08568,                 1.9623,                 2.4694,                  2.562,              0.0009209,              0.0009209,              0.0009209
                    112,                 1.8871,                 2.3814,                 2.3739,                0.29626,                0.56522,                0.32408,                 0.0867,                 1.9628,                 2.4585,                  2.576,               0.000911,               0.000911,               0.000911
                    113,                 1.9236,                 2.3806,                 2.4141,                0.27024,                0.53149,                 0.3027,                0.09997,                 1.9535,                 2.4716,                 2.6182,              0.0009011,              0.0009011,              0.0009011
                    114,                  1.842,                 2.4171,                  2.379,                0.17725,                0.52174,                 0.1759,                0.06378,                 2.1016,                 2.5927,                 2.6855,              0.0008912,              0.0008912,              0.0008912
                    115,                 1.8766,                 2.4655,                 2.3857,                0.14873,                0.26087,                0.16825,                 0.0595,                 2.2258,                 2.8611,                 2.7704,              0.0008813,              0.0008813,              0.0008813
                    116,                 1.8847,                 2.3439,                 2.3768,                0.31584,                0.34783,                0.31672,                0.13787,                 1.9415,                 2.4627,                 2.5187,              0.0008714,              0.0008714,              0.0008714
                    117,                 1.9799,                 2.3654,                 2.4299,                0.36971,                0.51033,                0.39901,                0.15889,                 1.9194,                 2.3636,                 2.4825,              0.0008615,              0.0008615,              0.0008615
                    118,                  1.857,                 2.4423,                 2.3807,                0.46471,                 0.3913,                0.42367,                0.14859,                 1.9592,                 2.4939,                  2.571,              0.0008516,              0.0008516,              0.0008516
                    119,                 1.8424,                 2.3241,                 2.3593,                0.27609,                0.34783,                0.28367,                0.06605,                 2.1436,                 2.8521,                 2.8298,              0.0008417,              0.0008417,              0.0008417
                    120,                 1.8722,                 2.3707,                 2.3934,                0.48471,                0.30435,                0.39061,                0.10255,                 2.2285,                 2.7748,                 2.8777,              0.0008318,              0.0008318,              0.0008318
                    121,                  1.889,                 2.3393,                  2.433,                0.74967,                0.39067,                0.48365,                0.16338,                 1.9449,                 2.4035,                 2.5751,              0.0008219,              0.0008219,              0.0008219
                    122,                 1.8551,                 2.3498,                 2.4306,                 0.7278,                0.34783,                0.54185,                0.18584,                 1.8362,                 2.2623,                 2.4893,               0.000812,               0.000812,               0.000812
                    123,                 1.8456,                  2.388,                 2.3675,                0.54951,                0.56522,                0.54008,                0.21113,                 1.7715,                  2.288,                   2.45,              0.0008021,              0.0008021,              0.0008021
                    124,                 1.8403,                 2.2763,                 2.3417,                0.67528,                0.47826,                0.55453,                0.19797,                 1.8267,                 2.3568,                 2.5155,              0.0007922,              0.0007922,              0.0007922
                    125,                 1.7935,                 2.3282,                 2.3454,                0.58304,                0.52174,                0.55757,                0.18534,                 1.8477,                  2.431,                 2.5436,              0.0007823,              0.0007823,              0.0007823
                    126,                 1.8256,                  2.274,                 2.3551,                0.53707,                0.56522,                0.58603,                0.16063,                 1.8716,                 2.5862,                 2.6084,              0.0007724,              0.0007724,              0.0007724
                    127,                 1.8333,                 2.3957,                 2.3787,                0.83593,                 0.3913,                0.57556,                0.18974,                 1.9117,                  2.425,                 2.5785,              0.0007625,              0.0007625,              0.0007625
                    128,                  1.844,                 2.3695,                 2.3473,                0.54672,                0.42008,                0.51609,                0.21022,                  1.868,                 2.2929,                 2.5306,              0.0007526,              0.0007526,              0.0007526
                    129,                 1.8673,                 2.3578,                 2.3965,                0.41757,                0.46789,                0.40926,                0.20956,                 1.7517,                 2.2721,                 2.3293,              0.0007427,              0.0007427,              0.0007427
                    130,                 1.7967,                 2.2471,                  2.327,                0.52116,                0.43478,                0.53759,                0.23783,                 1.8129,                 2.2441,                  2.353,              0.0007328,              0.0007328,              0.0007328
                    131,                 1.8284,                 2.3697,                 2.3212,                0.70749,                0.47826,                0.63325,                0.17827,                 1.9781,                 2.3938,                 2.5185,              0.0007229,              0.0007229,              0.0007229
                    132,                 1.8624,                 2.3554,                 2.3507,                0.68291,                0.56522,                0.60192,                0.15307,                 2.0203,                   2.38,                 2.5387,               0.000713,               0.000713,               0.000713
                    133,                 1.8169,                 2.3296,                 2.3032,                0.74493,                0.47826,                0.60265,                0.20181,                 1.9218,                 2.3192,                 2.4631,              0.0007031,              0.0007031,              0.0007031
                    134,                 1.8215,                 2.2779,                 2.3236,                0.83016,                0.42567,                0.52482,                0.20235,                 1.9205,                 2.5962,                 2.6023,              0.0006932,              0.0006932,              0.0006932
                    135,                  1.821,                 2.2794,                 2.3448,                0.52945,                0.56522,                0.50845,                 0.1343,                 2.0589,                  2.394,                 2.6258,              0.0006833,              0.0006833,              0.0006833
                    136,                 1.7572,                 2.2601,                 2.3023,                0.43068,                0.43478,                0.37875,                0.08311,                 2.1025,                 2.4484,                 2.6824,              0.0006734,              0.0006734,              0.0006734
                    137,                 1.8617,                 2.2276,                 2.3173,                0.49318,                0.52174,                0.52681,                 0.1309,                 2.0881,                 2.3224,                 2.6302,              0.0006635,              0.0006635,              0.0006635
                    138,                 1.8204,                  2.303,                 2.3425,                0.41041,                0.65217,                0.48095,                0.15663,                 1.9933,                 2.1748,                 2.5276,              0.0006536,              0.0006536,              0.0006536
                    139,                  1.761,                 2.3164,                 2.3216,                0.33649,                0.52174,                0.28144,                0.12556,                 1.7906,                 2.3676,                 2.4715,              0.0006437,              0.0006437,              0.0006437
                    140,                 1.8135,                 2.3489,                 2.3679,                0.45747,                 0.6087,                0.39719,                0.15928,                 1.8578,                 2.2858,                 2.4559,              0.0006338,              0.0006338,              0.0006338
                    141,                 1.7811,                 2.2676,                 2.3033,                0.41553,                0.56522,                0.41426,                0.14875,                 1.9142,                 2.2441,                 2.5208,              0.0006239,              0.0006239,              0.0006239
                    142,                 1.8112,                 2.2784,                 2.3342,                0.50296,                0.43478,                0.50569,                0.14442,                 2.0545,                 2.3859,                 2.6384,               0.000614,               0.000614,               0.000614
                    143,                 1.7606,                 2.2758,                 2.2736,                0.47561,                0.56522,                0.48165,                0.17089,                 1.9629,                 2.2861,                 2.5055,              0.0006041,              0.0006041,              0.0006041
                    144,                  1.729,                 2.2621,                 2.2639,                0.35691,                0.65217,                0.49056,                0.17571,                 1.8978,                  2.294,                 2.4631,              0.0005942,              0.0005942,              0.0005942
                    145,                 1.7448,                 2.2026,                 2.2734,                0.52835,                 0.6087,                0.55147,                0.21732,                 1.9075,                 2.1768,                 2.4183,              0.0005843,              0.0005843,              0.0005843
                    146,                 1.7417,                 2.2819,                 2.2598,                0.52084,                 0.6087,                0.62228,                0.21703,                 1.9745,                 2.1831,                 2.4712,              0.0005744,              0.0005744,              0.0005744
                    147,                 1.7973,                 2.2596,                 2.2821,                0.47608,                0.56522,                0.50579,                0.14956,                 2.1412,                 2.2226,                 2.6125,              0.0005645,              0.0005645,              0.0005645
                    148,                 1.7639,                 2.2693,                 2.2732,                 0.7096,                0.43478,                0.59613,                0.14948,                  2.129,                  2.227,                 2.5908,              0.0005546,              0.0005546,              0.0005546
                    149,                  1.728,                 2.2793,                 2.2709,                0.58612,                0.49307,                0.64283,                0.19594,                 2.0257,                 2.0849,                 2.4832,              0.0005447,              0.0005447,              0.0005447
                    150,                 1.6918,                 2.2522,                 2.2391,                0.64869,                0.65217,                0.75849,                0.27173,                 1.9239,                 2.0532,                  2.428,              0.0005348,              0.0005348,              0.0005348
